,Recall@1,Recall@5,Recall@10,MRR@1,MRR@5,MRR@10,NDCG@1,NDCG@5,NDCG@10
BM25(关键词),0.08763612165602369,0.1488783196154892,0.1839207310446444,0.1420355088772193,0.1714720346753355,0.1772047178461282,0.1420355088772193,0.13879725447888444,0.1501374021671359
Dense(向量召回),0.19215935602969667,0.353890211025412,0.4370674670966268,0.3035758939734934,0.36336584146036505,0.3748072930931145,0.3035758939734934,0.31837134245550525,0.34666580007003733
Dense+Rerank,0.20980384651739797,0.38582869774303474,0.46948858456805104,0.3265816454113528,0.3914061848795532,0.40278204471752854,0.3265816454113528,0.34657015752556913,0.375289672422093
